ID,Label,Text,Selected_Text,Selected_Text_Sentiment,Time_of_Post,User_Age,Population,Land_Size,Population_Density
24,0,my teeth and head hurts,my teeth and head hurts,negative,19,39,2416668,10120,239
25,1, Awww that`s so sweet  Wish you could see yourz 2,sweet,positive,6,49,3989167,69490,57
26,1,  that`s no bueno...hope u feel better!,..hope u feel better!,positive,13,63,83783942,348560,240
27,0,Looking for accessories for my #livescribe smartpen.. not many sources here in germany for it.,not many sources here in,negative,20,85,31072940,227540,137
28,1,"Hey, Good Morning guys!!",Good,positive,11,14,10423054,128900,81
29,0,early phonograph industry? done.. just the rest of APM to revise  and only berry the green rabbit and ribena man for company,early phonograph industry? done.. just the rest of APM to revise  and only berry the green rabbit and ribena man for company,neutral,17,25,112523,340,331
30,0,"how I wish my parents put me into a Chinese school when I was younger. Then, it`ll be so much easier for me to get a job...",how I wish my parents put me into a Chinese school when I was younger.,negative,18,44,17915568,107160,167
31,1, Now that`s a very nice way to fall asleep.,nice,positive,6,51,13132795,246000,53
32,1,just hanging around the house. Thank god its friday. With nina &  later and working on a global project,Thank god,positive,13,62,1968001,28120,70
33,1," 'phlegmily green house...' That was clever, but ever sooooooo ...... eeeeewwwwww. [more slow clapping] Get well soon.",Get well soon.,positive,23,71,786552,196850,4
34,1, Can you talk to my hubby  and convince him that that`s a great present for ALL mommies???,that that`s a great present for ALL mommie,positive,6,11,11402528,27560,414
35,0, I`ll be thinking about how many goals United are going to knock past City. How `bout you?,I`ll be thinking about how many goals United are going to knock past City. How `bout you?,neutral,16,28,801,0,2003
36,0, you got your lion hoodie!! mines still a week or so away  what number is yours?,you got your lion hoodie!! mines still a week or so away  what number is yours?,neutral,19,42,9904607,111890,89
37,1, LoL! there u go..that`s the spirit haha,LoL! there u go..that`s the spirit haha,positive,9,46,9660351,90530,107
38,0,Hey guys I`m going to create an iPhone app that`s a twitter client called Tweetilicious please  me your thoughts!,Hey guys I`m going to create an iPhone app that`s a twitter client called Tweetilicious please  me your thoughts!,neutral,17,63,341243,100250,3
39,1, shopping is therapuetic and i`m all about bettering myself... i need financing for my therapy however,bettering,positive,18,90,1380004385,2973190,464
40,1,Mother`s Day Wishes from google... Pretty & beautiful flowers on google logo  http://www.google.co.in/,beautiful,positive,11,13,273523615,1811570,151
41,0, I`m gonna miss the show  at whitby for the weekend! btw i love your show! Radio 1 is always on! ly x,I`m gonna miss the show  at whitby for the weekend! btw i love your show! Radio 1 is always on! ly x,neutral,14,21,83992949,1630000,52
42,1," my pleasure, its a great recipe","pleasure,",positive,18,43,40222493,434320,93
43,0,Driving Back home because I forgot the piece of cake for _era,Driving Back home because I forgot the piece of cake for _era,neutral,10,56,4937786,68890,72
44,1, http://twitpic.com/4wh4d - LAUREN is AMAZING....well from what I see on the hills lol  Seem like a great friend to have!!,- LAUREN is AMAZING....well from what I see on the hills lol  Seem like a great friend to have!!,positive,17,68,8655535,21640,400
45,0,Fighting a sore throat.. Few more days hard training then rest next week for Sunday race.. Oooohhh sun`s out... Nope.. Gone...,Fighting a sore throat.. Few more days hard training then rest next week for Sunday race.. Oooohhh sun`s out... Nope.. Gone...,neutral,23,88,60461826,294140,206
46,0,Lack of sleep leads to major head ach,Lack of sleep leads to major head ach,neutral,8,14,2961167,10830,273
47,0," MY FAV. SONG IS UH...honestly, its rude for u to make us choose.  lol I love `em all!","MY FAV. SONG IS UH...honestly, its rude for u to make us choose.  lol I love `em all!",neutral,16,30,126476461,364555,347
48,0,", totally worth it!! great movie cool 3D glasses! i miss ya! and i miss   and i miss new york too",i miss ya!,negative,23,43,10203134,88780,115
49,0,can`t sleep throat dry as hell.. ugh ! still gon` wake up fabulous !,can`t sleep throat dry as hell.. ugh ! still gon` wake up fabulous !,neutral,7,51,18776707,2699700,7
50,1, That`s a great idea,That`s a great idea,positive,17,65,53771296,569140,94
51,1,my love makes me sooo happy,happy,positive,20,89,119449,810,147
52,0,listening to the cat snore,listening to the cat snore,neutral,9,10,4270571,17820,240
53,1, Have you met me? (lol) MY MIDDLE NAME IS CREEPY FGS,(lol),positive,17,22,6524195,191800,34
54,1, hahah  i loveeee him though.,i loveeee him,positive,22,40,7275560,230800,32
55,1,"Lovely night, guys. Full moon  thinking about going out onto my roof lol",Lovely,positive,11,53,1886198,62200,30
56,0,This day will pass slowly.  All of these days will.  RAWR!!!!  ...,This day will pass slowly.  All of these days will.  RAWR!!!!  ...,negative,12,64,6825445,10230,667
57,0,@_handz_ well you know those 'kind of guys' are just idiots,idiots,negative,20,93,2142249,30360,71
58,0, i have to work tonight.  *M*,i have to work tonight.,neutral,11,12,5057681,96320,53
59,1,Happy Mother`s Day to all my favorite moms.,Happy,positive,14,28,6871292,1759540,4
60,0,Go get some fresh air :] to refresh mind,Go get some fresh air :] to refresh mind,neutral,22,41,38128,160,238
61,1, maybe i`ll go one day and thanks i`m all swined out,thanks,positive,6,55,2722289,62700,43
62,0,http://twitpic.com/4jj43 - Me and Ari,http://twitpic.com/4jj43 - Me and Ari,neutral,14,61,625978,2590,242
63,0,Me &  are laying in the back of a fox truck on the drive down to the race!  LOL,Me &  are laying in the back of a fox truck on the drive down to the race!  LOL,neutral,23,82,27691018,581795,48
64,0,P-Nutt got a new collar and leash today  http://apps.facebook.com/dogbook/profile/view/1034415,P-Nutt got a new collar and leash today,neutral,6,11,19129952,94280,203
65,1,Favorite little cartoon movie in the world,Favorite,positive,16,26,32365999,328550,99
66,1,It`s a really warm day in Seattle! My reeses chocolate is melting!!!,It`s a really warm day in Seattle!,positive,19,33,540544,300,1802
67,0,And it`s starting to get cold,And it`s starting to get cold,neutral,9,50,20250833,1220190,17
68,0," Yeah, plus it`s just a little too far to walk to Pinocchio`s for sushi",just a little too far,negative,13,65,441543,320,1380
69,0," u dont even need to go to the options, the button is right there (on top right corner)","u dont even need to go to the options, the button is right there (on top right corner)",neutral,22,90,59190,180,329
70,0,Duncan finally got his orders... leaves for Iraq in September. Open invite to stay with me anytime during the year he`ll be gone,Duncan finally got his orders... leaves for Iraq in September. Open invite to stay with me anytime during the year he`ll be gone,neutral,9,12,4649658,1030700,5
71,0,Listening to Broken by Lifehouse (on repeat),Listening to Broken by Lifehouse (on repeat),neutral,13,26,1271768,2030,626
72,1, hey  yall were amazing at bamboozle! thanks for stopping to take apicture on saturday.. seemed like you were in a rush though!,e amazing,positive,21,42,128932753,1943950,66
73,1, wow that`s quite a long time for studying  Good luck with the job hunting though.Yes also a Mac user (iMac) this side hehe,Good,positive,8,52,115023,700,164
74,1, Hi!! How are you? You`re an amazning actress  Greets from Slovenia,You`re an amazning actress,positive,17,63,4033963,32850,123
75,1," I`d love for Nicky Poo and Bri & Howie & Aj, to wish me a happy birthday  please please please please pleaseee guys..",I`d love,positive,22,84,39242,1,26337
76,0,I`m going to go check out DJ Volt.,I`m going to go check out DJ Volt.,neutral,8,12,3278290,1553560,2
77,0,We`re dealing with Overactive Let-Down right now.   http://bit.ly/9ydHU,Let-Down,negative,12,21,628066,13450,47
78,1, cant **** wait mate!!! it is goin to fantastic. its made my week,cant **** wait mate!!! it is goin to fantastic.,positive,21,45,36910560,446300,83
79,0,wanted to sleep but a friend from Denmark just poked me on IM,wanted to sleep but a friend from Denmark just poked me on IM,neutral,10,60,31255435,786380,40
80,0," The first thing she said means 'Your new album is really good' and the second thing, 'Don`****`s broken'. I am Persian!","The first thing she said means 'Your new album is really good' and the second thing, 'Don`****`s broken'. I am Persian!",neutral,13,62,54409800,653290,83
81,0, busy wit work  how is your business going on?,busy wit work  how is your business going on?,neutral,21,96,2540905,823000,3
82,1,Goooooodmorning,Goooooodmorning,positive,10,12,10824,20,541
83,1,"great photoshoot today with Chris Ryan of Rolling Stone, Keegan Smith & the Fam may be opening for DAVE MATTHEW`s BAND THIS SUMMER!  EEK!",great photoshoot,positive,17,27,29136808,143350,203
84,0,  My dog Nemo cause he wimpers every morning when I leave,My dog Nemo cause he wimpers every morning when I leave,neutral,23,44,17134872,33720,508
85,1,So apparently i left my front door wide open before going out to my show. With my and my moms laptops on the coffee table. Love my area,Love,positive,6,56,4822233,263310,18
86,1,Thank you for the follow !  Looking forward to your tweets...,Thank yo,positive,13,67,6624554,120340,55
87,1,!!! Tell us your experience! I Loveeeee Youu!,I Loveeeee Youu!,positive,20,74,24206644,1266700,19
88,0,_Exp not where i live.,_Exp not where i live.,neutral,9,17,38928346,652860,60
89,0, i`m watching CQC a brazilian humor program,i`m watching CQC a brazilian humor program,neutral,14,26,2877797,27400,105
90,0," Unfortunately, yes...not outside!","Unfortunately,",negative,23,37,43851044,2381740,18
91,0,Aaarrrgh! I sooo want to see  at MSG in August but dammit the decent seats are expensive. Booooooo recession!,expensive.,negative,9,53,77265,470,164
92,0, oh em i`m sorry  i wuv you to pieces,oh em i`m sorry  i wuv you to pieces,negative,14,62,32866272,1246700,26
93,0,"1st- TY to those who follow back.  2nd - grrr to those who don`t, cuz it messes up being able to follow others u want to when ur at 2000+","1st- TY to those who follow back.  2nd - grrr to those who don`t, cuz it messes up being able to follow others u want to when ur at 2000+",neutral,23,96,97929,440,223
94,0," had someone tell me tonight 'there are only 2 states to be in, QLD and Pissed'","had someone tell me tonight 'there are only 2 states to be in, QLD and Pissed'",neutral,8,16,45195774,2736690,17
95,1," i`d prefer 'observationally insightful', but call it as you see it.  my ice cream`s just too fancy tonight.",`s just too fancy,positive,13,23,2963243,28470,104
96,0," Not at the moment, well i cant find it yet!  LOL","Not at the moment, well i cant find it yet!  LOL",neutral,22,44,25499884,7682300,3
97,0,Psyched for Mother`s day at the GKR party--and teaching mom and dad about baseball,Psyched for Mother`s day at the GKR party--and teaching mom and dad about baseball,neutral,7,55,9006398,82400,109
98,1, Well thank you! I`ll try and remember to put it somewhere,thank,positive,13,65,10139177,82658,123
99,0,just called Toyota. Car won`t be ready til 5.,won`t be ready til 5.,negative,23,90,393244,10010,39
100,0, I`d just plain go crazy,I`d just plain go crazy,negative,11,13,1701575,760,2239
101,0,At least it`s Friday...working `til 1:30AM,At least it`s Friday...working `til 1:30AM,neutral,15,27,164689383,130170,1265
102,1,"listening to MCR, watching DVD`s, chocolate hehe  awesome",awesome,positive,22,45,287375,430,668
103,1,"Roast was yummy, I think mum was impressed!!!",impressed!!,positive,6,46,9449323,202910,47
104,0,`Allo there twitter  how are we today?,`Allo there twitter  how are we today?,neutral,15,61,11589623,30280,383
105,0,76 long and painful miles today.  knees ache.  approaching 50 years is rough. not accepting it well.  3 glasses of draft helped.,painful,negative,21,78,397628,22810,17
106,0,"http://twitpic.com/4wry2 - look, , the rosemary in my back garden, in CameraBag`s 'Lolo' mode","http://twitpic.com/4wry2 - look, , the rosemary in my back garden, in CameraBag`s 'Lolo' mode",neutral,6,18,12123200,112760,108
107,0, yep im very jelous too  id love to be in miley position haha x,yep im very jelous too  id love to be in miley position haha x,neutral,16,27,771608,38100,20
108,0,I`m bummed that I can`t wear my sweet Nike kicks to work.,can`t wear,negative,19,44,11673021,1083300,11
109,0,"  I am here to make friends.. real life, internet.. what ever level people are comfortable with..","I am here to make friends.. real life, internet.. what ever level people are comfortable with..",neutral,9,57,3280819,51000,64
110,1, Where DO you get all those wonderful toys?,Where DO you get all those wonderful toys?,positive,12,67,2351627,566730,4
111,0, hey free,hey free,neutral,22,93,212559417,8358140,25
112,0, I want to talk with but the calls are so expensive  I LOVE YOU,I want to talk with but the calls are so expensive  I LOVE YOU,neutral,6,11,437479,5270,83
113,0,what a waste of lives ... http://tr.im/mLou,what a waste of lives,negative,12,21,6948445,108560,64
114,0,I`m still waiting for the Oprah touch,I`m still waiting for the Oprah touch,neutral,21,36,20903273,273600,76
115,0," Better than work, work, 10 minutes for lunch, work, work, work? Actually it might be. I don`t work very hard","Better than work, work, 10 minutes for lunch, work, work, work? Actually it might be. I don`t work very hard",neutral,10,48,11890784,25680,463
116,0,Sometimes I wish I had my own Prototype mentor.,Sometimes I wish I had my own Prototype mentor.,neutral,12,66,26378274,318000,83
117,0,Last Late Late with Pat Kenny! Bless,Last Late Late with Pat Kenny! Bless,neutral,22,81,555987,4030,138
118,0, I heard your moving to Sydney next year im not happy,im not happy,negative,10,14,16718965,176520,95
119,0,_phillips She says yes  shall we say 6:30?,_phillips She says yes  shall we say 6:30?,neutral,14,24,26545863,472710,56
120,0,What? I focused on Tom so much I didn`t see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,What? I focused on Tom so much I didn`t see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,neutral,21,39,37742154,9093510,4
121,0, ill be alright but the whip may not,ill be alright but the whip may not,neutral,9,58,4829767,622980,8
122,1, so glad i`m not at uni anymore,glad,positive,16,68,16425864,1259200,13
123,0,Mmm someone come havelunch with me,Mmm someone come havelunch with me,neutral,21,84,19116201,743532,26
124,0,I`m new on Twitter.....Hi everybody!!! Suggestions for me???,I`m new on Twitter.....Hi everybody!!! Suggestions for me???,neutral,6,10,1439323776,9388211,153
125,1," Oh, sweetie, I`m so sorry.  That`s the last thing you needed right now. *hugs*",w. *hugs*,positive,16,25,50882891,1109500,46
126,1,greeeeeeeeeeeat  this summer i have four classes...if you know me...u know why,greeeeeeeeeeeat,positive,18,39,869601,1861,467
127,1," Bom dia! FRIOOOO... que delÃ¯Â¿Â½cia!!!! Good luck in your first day, Ju!","Good luck in your first day, Ju!",positive,8,55,5518087,342000,16
128,0,my puppy is sick,sick,negative,13,61,5094118,51060,100
129,0,wishes the rain would stop so my stupid headache would go away!,wishes the rain would stop so my stupid headache would go away!,negative,19,71,4105267,55960,73
130,0,"http://is.gd/IQ03 Microsoft has released Zune also in Europe, no HD for us","Microsoft has released Zune also in Europe, no HD for us",neutral,9,20,11326616,106440,106
131,0, and to you too!!!!,and to you too!!!!,neutral,15,24,1207359,9240,131
132,1,Happy Mother`s Day to all the Mom`s,Happy,positive,23,41,10708981,77240,139
133,0, school and work that`s it really. what about u? still in sac? or am I a tittle late,school and work that`s it really. what about u? still in sac? or am I a tittle late,neutral,6,54,89561403,2267050,40
134,0,Been working lots of overtime this week. Only just realized I booked a half day tomorrow so this week will just break even,Been working lots of overtime this week. Only just realized I booked a half day tomorrow so this week will just break even,negative,12,66,5792202,42430,137
135,0,"Can you dig it, sucka?  Booker T.  Former WWE Wrestler","Can you dig it, sucka?  Booker T.  Former WWE Wrestler",neutral,19,95,988000,23180,43
136,1,My sister just called... she`s officially in labor! Looks like Anna and Josie are getting a new cousin today!!  (And this one is a girl!),Looks like Anna and Josie are getting a new cousin today!!  (And this one is a girl!),positive,11,16,71986,750,96
137,0,is tired and about to go to sleep. night everyone,is tired an,negative,12,29,10847910,48300,225
138,0,Facebook decided I`m annoying or abusive because I add lots of friends. At least I have no distractions from coursework now...,annoying,negative,18,41,17643054,248360,71
139,1,Happy Mother`s Daaay!!,Happy Mother`s Daaay!!,positive,10,56,102334404,995450,103
140,1, Love to see that!,Love,positive,15,63,6486205,20720,313
141,0," morning  about to tackle armhole prob - may have a solution not involving tape, will update you!","morning  about to tackle armhole prob - may have a solution not involving tape, will update you!",neutral,19,95,1402985,28050,50
142,0,I can Rome without Ceasar,I can Rome without Ceasar,neutral,10,17,3546421,101000,35
143,0, my dad just bought me both of these  they`re tricky language tho,my dad just bought me both of these  they`re tricky language tho,neutral,16,21,1326535,42390,31
144,0, No blood drives in my area.  I`ll keep looking.,No blood drives in my area.  I`ll keep looking.,neutral,22,39,1160164,17200,67
145,0, meeee too. i am listening to sad music and missing you.  ps - http://www.daytrotter.com/,missing,negative,6,57,114963588,1000000,115
146,0,_zorz_peep count yourself lucky i was gonna say the OTHER word instead...and rsvp...sorry i cant come to ur birthday...day?,sorry,negative,17,60,896445,18270,49
147,0, whats up rick??,whats up rick??,neutral,21,84,5540720,304000,18
148,0,I still have a very depressed feline fuzzball...it`s another trip to vet tmrw to see what can be done...worried doesn`t even cover it,depressed,negative,7,12,65273511,547557,119
149,0,and this stupid wireless wont work downstairs,stupid wireless wont work,negative,17,29,2225734,257670,9
150,0,home from school today,home from school today,neutral,22,31,2416668,10120,239
151,1," Sounds a bit Alan Partridge  A-ha! (Good morning, by the way)",(Good,positive,9,51,3989167,69490,57
152,0,"I`m now totally addicted to Farm Town. Frankly, it`s more fun that fixing laptops or studying the diseases that will kill us all.","I`m now totally addicted to Farm Town. Frankly, it`s more fun that fixing laptops or studying the diseases that will kill us all.",neutral,17,62,83783942,348560,240
153,1,follow  just because... or don`t either way they have really cool tshirts  hey johno x,cool,positive,19,92,31072940,227540,137
154,0, i hate this weather! When u have lived here ure whole life u get used to it...may is always rainy  ,hate,negative,8,14,10423054,128900,81
155,0,i guessed my leg havent healed from the old injuries  but i can still run though and kick ball! haha. but will sometimes fell a sharp pain,i guessed my leg havent healed from the old injuries  but i can still run though and kick ball! haha. but will sometimes fell a sharp pain,neutral,14,25,112523,340,331
156,0,Leaving Wildwood tomorrow  but Luke says we will be back soon!,Leaving Wildwood tomorrow  but Luke says we will be back soon!,neutral,19,42,17915568,107160,167
157,0,scary cape guy,scary,negative,10,51,13132795,246000,53
158,1, it was good. Next time you get oohed you know where to go!,it was good.,positive,15,61,1968001,28120,70
159,1, I was hoping for a better trailer,hoping,positive,22,80,786552,196850,4
160,0,Amost there,Amost there,neutral,9,19,11402528,27560,414
161,1,"It`s a good day! The lake is a mirror, the kids are happy, and I get to clean the cabin today... Err two outta three ain`t bad!","happy,",positive,13,28,801,0,2003
162,0,Sometimes it hurts that pets cant talk back to us. What if they are in pain. How would they tell us.,it hurts that pets cant talk back to us. What if they are in pain. Ho,negative,18,45,9904607,111890,89
163,1,"so after church, i went to the mall with my parents, i got a new backpack that can fit all my schoolbooks AND my laptop","so after church, i went to the mall with my parents, i got a new backpack that can fit all my schoolbooks AND my laptop",positive,7,47,9660351,90530,107
164,0,i can`t believe my little brother is married...,i can`t believe my little brother is married...,neutral,12,63,341243,100250,3
165,0,FINALLY...the internet is up. The server is down in Phoenix and it was **** up.,down,negative,19,92,1380004385,2973190,464
166,0,so cold,so cold,negative,10,13,273523615,1811570,151
167,1, My mum loved the Camp Rock mothers day card I gave her. I knew she would. Happy Mothers Day from New Zealand! Haha ILY lots  ****,loved,positive,14,29,83992949,1630000,52
168,1," nice to meet you. Mike, video producer CF Miami.",nice,positive,22,40,40222493,434320,93
169,1,just left work. inventory was way easy  and I got to put in my highschool musical 3 cd! it was amazing. goodnight goodnight everyone :],! it was amazing.,positive,7,47,4937786,68890,72
170,1, Loved those books   Did you read The Host?  Amazing storyteller.,Loved,positive,13,60,8655535,21640,400
171,0,i don`t understand the whole follow friday thing?,don`t understand,negative,19,83,60461826,294140,206
172,0,Watching some movie and playin on my computer.,Watching some movie and playin on my computer.,neutral,9,11,2961167,10830,273
173,0,I`m SUPER tired and probably could sleep ALL day BUT I work 12:30 to 9:30 today in Tool Rental... Oh the Joy!!,I`m SUPER tired,negative,16,29,126476461,364555,347
174,0, - I shall post a notice in town so us Cork ladies know to watch out!! lol  You had fun then?? Sevens were the business !! ;),- I shall post a notice in town so us Cork ladies know to watch out!! lol  You had fun then?? Sevens were the business !! ;),neutral,20,36,10203134,88780,115
175,1,HAPPY MOTHERS DAY!,HAPPY MOTHERS DAY!,positive,6,58,18776707,2699700,7
176,1, : yes she got all lovey with him& he returned the love&1thing led2 another&  also  wants2 know y ur mad at her,lovey,positive,15,67,53771296,569140,94
177,0, aww sorry boo. I haven`t bought a printer in 4 years; my canon i900d is still making amazing prints. Have zero fisheye exp.,aww sorry boo. I haven`t bought a printer in 4 years; my canon i900d is still making amazing prints. Have zero fisheye exp.,neutral,21,97,119449,810,147
178,1, No problem! These boxes are _made_ for undernourished IT professionals,No problem!,positive,9,12,4270571,17820,240
179,1,it`s Blockbuster week in New Zealand - 'Wolverine' tomorrow followed by 'Star Trek' on Thursday!,it`s Blockbuster week in New Zealand -,positive,16,23,6524195,191800,34
180,1,"Oh, had like the most amazing weekend, sunshine & partÃ¯Â¿Â½Ã¯Â¿Â½, white wine!! Now its back to the rehearsals regime!! NICE !!!",NICE,positive,18,33,7275560,230800,32
181,0,http://twitpic.com/66ltb - Finito~! Hunk Ah Hunk of Burning Love! I do believe my camera phone is stuffed. Stupid blurryness,I do believe my camera phone is stuffed. Stupid blurryness,negative,11,49,1886198,62200,30
182,0, hi.wanna see 17 again again with me ;) i`ll fly to cali and see it with you,hi.wanna see 17 again again with me ;) i`ll fly to cali and see it with you,neutral,13,70,6825445,10230,667
183,1, blogtv was fun! can`t wait til next time,blogtv was fun! can`t wait til next time,positive,22,98,2142249,30360,71
184,0,Here at work having lunch. A lot of work and not enough help,A lot of work and not enough help,negative,8,13,5057681,96320,53
185,1,mmmm chocky cake in the oven.. smells delicious,smells delicious,positive,12,26,6871292,1759540,4
186,0," Well there`s you, another Twiiter person...erm...difficult to say really...   Let`s just say that you could fit all into a minibus!","Well there`s you, another Twiiter person...erm...difficult to say really...   Let`s just say that you could fit all into a minibus",negative,23,42,38128,160,238
187,0,so freaking tired.  It`s like my body refuses to move.,tired.,negative,8,51,2722289,62700,43
188,0,epic fail with the chocolate fountain that got CLOGGED,epic fail with the chocolate fountain that got CLOGGED,negative,13,61,625978,2590,242
189,1,I just wanna be better already,I just wanna be better already,positive,21,85,27691018,581795,48
190,1,: have fun focus grouping! i have no participants as of yet..,fun,positive,10,11,19129952,94280,203
191,0," Thanks! Am trying.. (keeping my chin up, ouch!)","Thanks! Am trying.. (keeping my chin up, ouch!)",neutral,12,23,32365999,328550,99
192,0,They gave me a regular coke instead of diet. Really??,They gave me a regular coke instead of diet. Really??,neutral,22,38,540544,300,1802
193,0,been playing with the new phone.. think I got it all figured out,been playing with the new phone.. think I got it all figured out,neutral,10,59,20250833,1220190,17
194,0,omg... i want full JB- hey baby song,omg... i want full JB- hey baby song,neutral,16,67,441543,320,1380
195,0, Tinkered with open-source Virtualbox &Win7 yet? Would`ve loved to have seen you @ Hay. Always unfortunate timing for students,Tinkered with open-source Virtualbox &Win7 yet? Would`ve loved to have seen you @ Hay. Always unfortunate timing for students,neutral,19,96,59190,180,329
196,0,I think the sun and the moon are God`s way of reminding us that he`s always watching over us.,I think the sun and the moon are God`s way of reminding us that he`s always watching over us.,neutral,7,13,4649658,1030700,5
197,0,Watching twilight and eating potato salad.,Watching twilight and eating potato salad.,neutral,12,26,1271768,2030,626
198,1,In bed. A cuppa. Tv on... All this while husband is cooking... Life is sweet...,Life is sweet..,positive,20,32,128932753,1943950,66
199,0," also: is there a strategic IT plan that maps to the bus strategic needs, that deliver value over time? No more waterfall","also: is there a strategic IT plan that maps to the bus strategic needs, that deliver value over time? No more waterfall",neutral,11,46,115023,700,164
200,1,_11 thanks. enjoy the movie! i hope all is well with you te.,enjoy,positive,13,67,4033963,32850,123
201,0,_am_umlaut oh no!  i`m very sorry to hear,i`m very sorry,negative,20,96,39242,1,26337
202,0,"Back @ home AGAIN .. bathing kids, ironing clothes for hubby .. nephew`s graduation tonight! I remember when he was 2!","Back @ home AGAIN .. bathing kids, ironing clothes for hubby .. nephew`s graduation tonight! I remember when he was 2!",neutral,8,18,3278290,1553560,2
203,1,"Glad I went out, glad I didn`t leave early, and glad to be afterpartying it up @ Beth`s  I`m back!",glad,positive,14,30,628066,13450,47
204,0,is texting,is texting,neutral,18,38,36910560,446300,83
205,0,Has a headache,Has a headache,negative,10,54,31255435,786380,40
206,0,on my way to school of my last friday of high school ever!  and i don`t even get to see holly Gabbie and hannah,on my way to school of my last friday of high school ever!  and i don`t even get to see holly Gabbie and hannah,negative,12,60,54409800,653290,83
207,0, better check YouTube,better check YouTube,neutral,18,78,2540905,823000,3
208,0, i cant get through,i cant get through,negative,7,18,10824,20,541
209,0,no clubs...no parties...ive spent my friday and saturday night workin on music and am quit content,no clubs...no parties...ive spent my friday and saturday night workin on music and am quit content,neutral,15,29,29136808,143350,203
210,0,Whaaaat a strong rain just came over us here in Santa Clara. I wish I could sleep but I got to attend to an important meeting,I wish I could sleep but I got to attend to an important meeting,negative,21,34,17134872,33720,508
211,0, he won`t reply,he won`t reply,neutral,6,50,4822233,263310,18
212,1,Won a gps at post prom,Won,positive,15,67,6624554,120340,55
213,1,Watching one of my fav movies Sparkle  + go get food later!,fav movies,positive,18,86,24206644,1266700,19
214,0," Hey, that`s my Bug! And my martini glasses . . .","Hey, that`s my Bug! And my martini glasses . . .",neutral,8,12,206139589,910770,226
215,0,For those of us who`s hearts break a little more this time of year know that you are loved and next week is a new week.,For those of us who`s hearts break a little more this time of year know that you are loved and next week is a new week.,neutral,15,22,25778816,120410,214
216,0, rlly dead?  Descanse em paz... #luto #sad #RIP,dead?,negative,18,43,2083374,25220,83
